Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode
File,OperatorOnBackpressureBufferTest.java,,,0,,,,29,1,,24,200,0.16
File,OperatorOnBackpressureDrop.java,,,2,,,,15,1,,9,74,0.3
File,OperatorOnBackpressureDropTest.java,,,0,,,,41,1,,34,255,0.11
File,OperatorOnBackpressureLatest.java,,,8,,,,36,1,,17,181,0.2
File,OperatorOnBackpressureLatestTest.java,,,1,,,,11,0,,9,107,0.14
File,OperatorOnErrorResumeNextViaFunction.java,,,3,,,,22,3,,16,113,0.3
File,OperatorOnErrorResumeNextViaFunctionTest.java,,,4,,,,36,0,,27,279,0.11
File,OperatorOnErrorResumeNextViaObservableTest.java,,,4,,,,21,0,,13,188,0.11
File,OperatorOnErrorReturnTest.java,,,3,,,,22,0,,15,181,0.13
File,OperatorOnExceptionResumeNextViaObservableTest.java,,,3,,,,27,0,,12,219,0.11
File,OperatorPublish.java,,,12,,,,89,3,,27,409,0.84
File,OperatorPublishFunctionTest.java,,,0,,,,23,0,,20,179,0.08
File,OperatorPublishPerf.java,,,10,,,,16,1,,8,97,0.27
File,OperatorPublishTest.java,,,1,,,,39,0,,31,312,0.07
File,OperatorRangePerf.java,,,6,,,,13,0,,13,74,0.2
File,OperatorRepeatTest.java,,,0,,,,21,0,,20,182,0.09
File,OperatorReplay.java,,,37,,,,180,7,,75,865,0.42
File,OperatorReplayTest.java,,,3,,,,96,3,,82,1155,0.04
File,OperatorRetryTest.java,,,17,,,,102,2,,70,746,0.12
File,OperatorRetryWithPredicate.java,,,8,,,,15,0,,11,93,0.24
File,OperatorRetryWithPredicateTest.java,,,6,,,,36,0,,30,330,0.06
File,OperatorSampleTest.java,,,4,,,,42,0,,40,389,0.05
File,OperatorSampleWithObservable.java,,,1,,,,9,0,,8,62,0.42
File,OperatorSampleWithTime.java,,,5,,,,11,0,,9,72,0.39
File,OperatorScan.java,,,14,,,,48,0,,21,252,0.25
File,OperatorScanTest.java,,,2,,,,57,0,,54,355,0.06
File,OperatorSequenceEqual.java,,,0,,,,6,2,,4,36,1
File,OperatorSequenceEqualTest.java,,,0,,,,16,0,,16,121,0.12
File,OperatorSerialize.java,,,0,,,,6,1,,6,32,0.69
File,OperatorSerializePerf.java,,,3,,,,12,0,,12,89,0.24
File,OperatorSerializeTest.java,,,21,,,,45,0,,21,289,0.21
File,OperatorSingle.java,,,8,,,,15,1,,9,84,0.36
File,OperatorSingleTest.java,,,0,,,,52,0,,50,363,0.07
File,OperatorSkip.java,,,2,,,,8,0,,6,38,0.66
File,OperatorSkipLast.java,,,3,,,,8,0,,5,41,0.61
File,OperatorSkipLastTest.java,,,0,,,,9,0,,9,119,0.13
File,OperatorSkipLastTimed.java,,,3,,,,8,0,,6,47,0.4
File,OperatorSkipLastTimedTest.java,,,0,,,,4,0,,4,100,0.15
File,OperatorSkipTest.java,,,0,,,,13,0,,12,158,0.09
File,OperatorSkipTimedTest.java,,,0,,,,6,0,,6,129,0.12
File,OperatorSkipUntil.java,,,1,,,,9,0,,8,54,0.5
File,OperatorSkipUntilTest.java,,,1,,,,7,0,,7,112,0.13
File,OperatorSkipWhile.java,,,3,,,,10,1,,7,54,0.48
File,OperatorSkipWhileTest.java,,,2,,,,18,0,,15,147,0.1
File,OperatorSubscribeOn.java,,,2,,,,10,0,,9,64,0.34
File,OperatorSubscribeOnTest.java,,,4,,,,32,0,,26,201,0.1
