Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"AutofillPopupControllerImpl::ClearState",,,,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,3,9,1,7,2,0,0,2,1,7,7,0,0,7,1,1,1,1,0,,,,,0,,0,0,,0.22,,,,
Public Const Function,"AutofillPopupControllerImpl::GetDesiredPopupHeight",,,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,7,3,4,0,0,0,4,2,5,6,2,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Const Function,"AutofillPopupControllerImpl::GetDesiredPopupWidth",,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,12,7,9,0,0,0,10,2,7,8,3,0,5,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Const Function,"AutofillPopupControllerImpl::GetIconResourceID",,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,1,8,3,4,0,0,0,3,3,4,6,1,0,5,3,3,3,3,3,,,,,3,,2,3,,0.00,,,,
Public Const Function,"AutofillPopupControllerImpl::GetNameFontListForRow",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,6,2,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupControllerImpl::GetOrCreate",,,,3,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,3,22,11,13,0,0,0,9,3,6,8,1,0,7,3,3,7,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupControllerImpl::GetOrCreate",,,,3,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,3,22,11,13,0,0,0,1,3,6,8,1,0,7,3,3,7,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupControllerImpl::GetRowBounds",,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,1,11,3,8,0,0,0,5,2,5,6,2,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Const Function,"AutofillPopupControllerImpl::GetRowHeightFromId",,,,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,1,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupControllerImpl::GetWeakPtr",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
