Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
Class,"cgeo.calendar.CalendarActivity.selectCalendarForAdding.(Anon_2)",1,1,0,1,0,0
Public Class,"cgeo.calendar.CalendarAddon",6,1,0,3,8,0
Class,"cgeo.calendar.CalendarAddon.addToCalendarWithIntent.(Anon_1)",1,1,0,1,2,0
Class,"cgeo.calendar.CalendarEntry",21,1,0,12,2,83
Public Class,"cgeo.calendar.Compatibility",5,1,0,3,0,66
Public Interface,"cgeo.calendar.ICalendar",0,0,0,0,0,0
Package,"cgeo.contacts",24,,,,,
Public Class,"cgeo.contacts.ContactsActivity",20,2,0,6,1,66
Class,"cgeo.contacts.ContactsActivity.selectContact.(Anon_1)",1,1,0,1,1,0
Public Class,"cgeo.contacts.ContactsAddon",3,1,0,3,3,0
Public Interface,"cgeo.contacts.IContacts",0,0,0,0,0,0
Package,"cgeo.geocaching",2794,,,,,
Public Class,"cgeo.geocaching.AboutActivity",16,5,0,48,8,77
Class,"cgeo.geocaching.AboutActivity.ChangeLogViewCreator",2,2,0,6,1,0
Class,"cgeo.geocaching.AboutActivity.ContributorsViewCreator",1,2,0,6,1,0
Class,"cgeo.geocaching.AboutActivity.HelpViewCreator",1,2,0,6,2,0
Class,"cgeo.geocaching.AboutActivity.HelpViewCreator.getDispatchedView.(Anon_1)",1,1,0,1,1,0
