Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountLineCode,RatioCommentToCode,CountDeclFunction
File,OperatorWindowWithStartEndObservable.java,,,10,,,,31,0,,185,0.15,18
File,OperatorWindowWithStartEndObservableTest.java,,,3,,,,27,0,,195,0.08,24
File,OperatorWindowWithTime.java,,,22,,,,82,1,,427,0.1,33
File,OperatorWindowWithTimeTest.java,,,2,,,,19,0,,149,0.1,18
File,OperatorWithLatestFrom.java,,,2,,,,11,0,,70,0.33,8
File,OperatorWithLatestFromTest.java,,,0,,,,12,0,,196,0.08,12
File,OperatorZip.java,,,14,,,,42,0,,233,0.27,24
File,OperatorZipCompletionTest.java,,,6,,,,6,0,,83,0.24,6
File,OperatorZipIterable.java,,,3,,,,10,0,,52,0.29,5
File,OperatorZipIterableTest.java,,,11,,,,26,0,,263,0.09,25
File,OperatorZipTest.java,,,10,,,,108,1,,975,0.09,97
File,PaddedAtomicInteger.java,,,15,,,,0,0,,6,4.17,0
File,PaddedAtomicIntegerBase.java,,,1,,,,13,0,,49,0.41,13
File,PlatformDependent.java,,,0,,,,6,3,,31,0.87,4
File,Pow2.java,,,0,,,,3,2,,11,2.64,3
File,Producer.java,,,0,,,,1,0,,4,8.75,1
File,ProducerArbiter.java,,,6,,,,28,0,,155,0.12,5
File,ProducerObserverArbiter.java,,,9,,,,44,0,,233,0.12,8
File,ProducersTest.java,,,5,,,,25,0,,288,0.05,22
File,PublishSubject.java,,,2,,,,23,1,,107,0.53,14
File,PublishSubjectTest.java,,,1,,,,28,0,,314,0.12,24
File,QueuedProducer.java,,,5,,,,30,0,,127,0.31,9
File,QueuedValueProducer.java,,,3,,,,20,0,,85,0.45,5
File,ReduceTests.java,,,0,,,,9,0,,61,0.48,9
File,RefCountSubscription.java,,,6,,,,21,0,,97,0.34,13
File,RefCountSubscriptionTest.java,,,2,,,,5,0,,72,0.21,5
File,ReplaySubject.java,,,27,,,,166,7,,760,0.46,98
File,ReplaySubjectBoundedConcurrencyTest.java,,,2,,,,88,1,,465,0.08,34
File,ReplaySubjectConcurrencyTest.java,,,2,,,,67,1,,368,0.08,30
File,ReplaySubjectPerf.java,,,1,,,,14,0,,85,0.18,12
File,ReplaySubjectTest.java,,,1,,,,58,0,,629,0.06,48
File,RxJavaErrorHandler.java,,,0,,,,5,0,,25,2.96,3
File,RxJavaObservableExecutionHook.java,,,0,,,,5,0,,24,3.79,5
File,RxJavaObservableExecutionHookDefault.java,,,0,,,,1,1,,7,2.71,1
File,RxJavaPlugins.java,,,3,,,,24,2,,89,1.26,10
File,RxJavaPluginsTest.java,,,2,,,,26,1,,194,0.1,22
File,RxJavaSchedulersHook.java,,,0,,,,6,1,,23,2.22,6
File,RxRingBuffer.java,,,5,,,,38,2,,182,1.28,24
File,RxRingBufferBase.java,,,0,,,,21,0,,116,0.21,8
File,RxRingBufferPerf.java,,,2,,,,19,0,,102,0.15,11
File,RxRingBufferSpmcTest.java,,,0,,,,14,0,,97,0.27,6
File,RxRingBufferSpscTest.java,,,0,,,,14,0,,94,0.29,6
File,RxRingBufferWithoutUnsafeTest.java,,,0,,,,18,0,,107,0.23,7
File,RxThreadFactory.java,,,2,,,,2,0,,18,0.83,2
File,SafeObserverTest.java,,,0,,,,59,7,,349,0.07,46
File,SafeSubscriber.java,,,2,,,,22,0,,107,1.07,7
File,SafeSubscriberTest.java,,,1,,,,10,0,,102,0.33,10
File,ScalarSynchronousObservable.java,,,7,,,,19,1,,106,0.29,16
File,ScanTests.java,,,0,,,,3,0,,27,0.56,3
File,ScheduledAction.java,,,7,,,,25,0,,123,0.46,19
File,Scheduler.java,,,1,,,,8,0,,38,2.68,7
File,SchedulerTests.java,,,7,,,,15,2,,93,0.16,7
