Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,CountDeclInstanceVariable,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode,CountDeclClassMethod
File,OperatorMapPerf.java,,,,4,,,1,,4,41,0.37,0
File,OperatorMapTest.java,,,,33,,,3,,29,232,0.14,1
File,OperatorMaterialize.java,,,,4,,,0,,4,27,0.85,0
File,OperatorMaterializeTest.java,,,,14,,,5,,9,111,0.14,0
File,OperatorMerge.java,,,,100,,,23,,33,471,0.47,0
File,OperatorMergeDelayError.java,,,,1,,,0,,1,6,5.5,0
File,OperatorMergeDelayErrorTest.java,,,,45,,,7,,33,370,0.08,0
File,OperatorMergeMapTest.java,,,,28,,,0,,26,232,0.06,0
File,OperatorMergeMaxConcurrent.java,,,,13,,,9,,10,98,0.28,0
File,OperatorMergeMaxConcurrentTest.java,,,,19,,,4,,8,121,0.16,0
File,OperatorMergePerf.java,,,,15,,,5,,14,119,0.17,0
File,OperatorMergeTest.java,,,,104,,,5,,75,762,0.11,0
File,OperatorMinMax.java,,,,25,,,0,,17,112,0.16,12
File,OperatorMinMaxTest.java,,,,32,,,0,,32,288,0.05,0
File,OperatorMulticast.java,,,,14,,,6,,8,96,0.41,0
File,OperatorObserveFromAndroidComponent.java,,,,20,,,3,,16,103,0.15,2
File,OperatorObserveFromAndroidComponentTest.java,,,,15,,,2,,13,159,0.13,0
File,OperatorObserveOn.java,,,,30,,,13,,15,162,0.26,0
File,OperatorObserveOnPerf.java,,,,4,,,1,,4,43,0.35,0
File,OperatorObserveOnTest.java,,,,59,,,0,,47,452,0.1,1
File,OperatorOnBackpressureBuffer.java,,,,13,,,1,,7,70,0.39,0
File,OperatorOnBackpressureBufferTest.java,,,,7,,,0,,6,60,0.35,0
File,OperatorOnBackpressureDrop.java,,,,7,,,0,,6,38,0.39,0
File,OperatorOnBackpressureDropTest.java,,,,8,,,0,,7,66,0.32,0
File,OperatorOnErrorFlatMap.java,,,,9,,,1,,8,48,0.46,0
File,OperatorOnErrorFlatMapTest.java,,,,12,,,0,,9,79,0.2,0
File,OperatorOnErrorResumeNextViaFunction.java,,,,9,,,2,,5,52,0.63,0
File,OperatorOnErrorResumeNextViaFunctionTest.java,,,,29,,,3,,22,226,0.14,0
File,OperatorOnErrorResumeNextViaObservable.java,,,,8,,,2,,5,46,0.78,0
File,OperatorOnErrorResumeNextViaObservableTest.java,,,,12,,,3,,6,106,0.19,0
File,OperatorOnErrorReturn.java,,,,9,,,2,,5,55,0.62,0
File,OperatorOnErrorReturnTest.java,,,,15,,,2,,10,128,0.18,0
File,OperatorOnExceptionResumeNextViaObservable.java,,,,9,,,2,,5,50,0.8,0
File,OperatorOnExceptionResumeNextViaObservableTest.java,,,,22,,,2,,9,180,0.13,0
File,OperatorParallel.java,,,,15,,,8,,10,89,0.36,0
File,OperatorParallelMerge.java,,,,6,,,2,,6,36,1.33,2
File,OperatorParallelMergeTest.java,,,,9,,,0,,9,78,0.28,1
File,OperatorParallelTest.java,,,,24,,,0,,20,165,0.16,0
File,OperatorRangePerf.java,,,,13,,,6,,13,81,0,0
