Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
TypeVariable,rx.Observable.skip.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.Observable.subscribe,,,,,,,10,,,2.6,,
Public Method,rx.Observable.subscribe,,,,,,,24,,,0,,
Public Method,rx.Observable.subscribe,,,,,,,18,,,0.17,,
Public Method,rx.Observable.subscribe,,,,,,,15,,,0.13,,
Public Method,rx.Observable.subscribe,,,,,,,18,,,0.06,,
Public Method,rx.Observable.subscribe,,,,,,,18,,,0.06,,
Public Method,rx.Observable.subscribe,,,,,,,21,,,0,,
Public Method,rx.Observable.subscribe,,,,,,,19,,,0,,
Class,rx.Observable.subscribe.(Anon_1),0,0,0,0,4,0,21,,,0,15,6
Public Method,rx.Observable.subscribe.(Anon_1).onCompleted,,,,,,,6,,,0,,
Public Method,rx.Observable.subscribe.(Anon_1).onError,,,,,,,7,,,0,,
Public Method,rx.Observable.subscribe.(Anon_1).onNext,,,,,,,7,,,0,,
Class,rx.Observable.subscribe.(Anon_2),0,0,0,0,3,0,12,,,0.17,15,4
Public Method,rx.Observable.subscribe.(Anon_2).onCompleted,,,,,,,2,,,0.5,,
Public Method,rx.Observable.subscribe.(Anon_2).onError,,,,,,,3,,,0.33,,
Public Method,rx.Observable.subscribe.(Anon_2).onNext,,,,,,,6,,,0,,
Class,rx.Observable.subscribe.(Anon_3),0,0,0,0,4,0,12,,,0.17,15,4
Public Method,rx.Observable.subscribe.(Anon_3).onCompleted,,,,,,,2,,,0.5,,
Public Method,rx.Observable.subscribe.(Anon_3).onError,,,,,,,3,,,0.33,,
Public Method,rx.Observable.subscribe.(Anon_3).onNext,,,,,,,6,,,0,,
Class,rx.Observable.subscribe.(Anon_4),0,0,0,0,3,0,15,,,0.07,15,5
Public Method,rx.Observable.subscribe.(Anon_4).onCompleted,,,,,,,2,,,0.5,,
Public Method,rx.Observable.subscribe.(Anon_4).onError,,,,,,,6,,,0,,
Public Method,rx.Observable.subscribe.(Anon_4).onNext,,,,,,,6,,,0,,
Class,rx.Observable.subscribe.(Anon_5),0,0,0,0,4,0,15,,,0.07,15,5
Public Method,rx.Observable.subscribe.(Anon_5).onCompleted,,,,,,,2,,,0.5,,
Public Method,rx.Observable.subscribe.(Anon_5).onError,,,,,,,6,,,0,,
Public Method,rx.Observable.subscribe.(Anon_5).onNext,,,,,,,6,,,0,,
Class,rx.Observable.subscribe.(Anon_6),0,0,0,0,3,0,18,,,0,15,6
Public Method,rx.Observable.subscribe.(Anon_6).onCompleted,,,,,,,5,,,0,,
Public Method,rx.Observable.subscribe.(Anon_6).onError,,,,,,,6,,,0,,
Public Method,rx.Observable.subscribe.(Anon_6).onNext,,,,,,,6,,,0,,
Class,rx.Observable.subscribe.(Anon_7),0,0,0,0,5,0,16,,,0,15,5
Public Method,rx.Observable.subscribe.(Anon_7).onCompleted,,,,,,,3,,,0,,
