Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,CountDeclMethodAll,RatioCommentToCode,CountDeclClassMethod,CountLineCode,CountDeclFile,CountDeclFunction
Class,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_3),3,0,0,1,0,0,13,0,0,5,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_3).call,,,,,,,,0,,3,,
Class,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_4),3,0,0,1,0,0,13,0,0,10,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_4).call,,,,,,,,0,,8,,
Class,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_4).call.(Anon_5),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_4).call.(Anon_5).call,,,,,,,,0,,3,,
Class,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_6),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy.(Anon_6).call,,,,,,,,0,,3,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnGroupBy,,,,,,,,0.06,,18,,
Class,rx.GroupByTests.testTakeUnsubscribesOnGroupBy.(Anon_1),3,0,0,1,0,0,13,0,0,5,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnGroupBy.(Anon_1).call,,,,,,,,0,,3,,
Class,rx.GroupByTests.testTakeUnsubscribesOnGroupBy.(Anon_2),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnGroupBy.(Anon_2).call,,,,,,,,0,,3,,
Public Class,rx.IntervalDemo,10,0,0,2,0,0,14,0.59,0,27,,
Public Method,rx.IntervalDemo.demoInterval,,,,,,,,0,,3,,
Public Method,rx.IntervalDemo.testLongObservable,,,,,,,,0.05,,21,,
Class,rx.IntervalDemo.testLongObservable.(Anon_1),5,0,0,1,0,0,13,0,0,5,,
Public Method,rx.IntervalDemo.testLongObservable.(Anon_1).call,,,,,,,,0,,4,,
Class,rx.IntervalDemo.testLongObservable.(Anon_2),1,0,0,1,0,0,13,0,0,4,,
Public Method,rx.IntervalDemo.testLongObservable.(Anon_2).call,,,,,,,,0,,3,,
Class,rx.IntervalDemo.testLongObservable.(Anon_3),3,0,0,1,0,0,13,0,0,4,,
Public Method,rx.IntervalDemo.testLongObservable.(Anon_3).call,,,,,,,,0,,3,,
Public Class,rx.MergeTests,6,0,0,5,0,0,17,0.38,0,50,,
Public Method,rx.MergeTests.testCovarianceOfMerge,,,,,,,,0.6,,5,,
Public Method,rx.MergeTests.testMergeCovariance,,,,,,,,0,,6,,
Public Method,rx.MergeTests.testMergeCovariance2,,,,,,,,0,,6,,
Public Method,rx.MergeTests.testMergeCovariance3,,,,,,,,0,,9,,
Public Method,rx.MergeTests.testMergeCovariance4,,,,,,,,0.06,,17,,
Class,rx.MergeTests.testMergeCovariance4.(Anon_1),6,0,0,1,0,0,13,0.13,0,8,,
Public Method,rx.MergeTests.testMergeCovariance4.(Anon_1).onSubscribe,,,,,,,,0.17,,6,,
Public Generic Class,rx.Notification,6,0,3,24,0,66,26,0.72,0,83,,
Public Enum Type,rx.Notification.Kind,1,0,3,2,0,100,27,0,0,3,,
Public Method,rx.Notification.Kind.valueOf,,,,,,,,0,,0,,
Public Method,rx.Notification.Kind.values,,,,,,,,0,,0,,
Public Constructor,rx.Notification.Notification,,,,,,,,1.2,,5,,
Public Constructor,rx.Notification.Notification,,,,,,,,0.6,,5,,
Public Constructor,rx.Notification.Notification,,,,,,,,1.2,,5,,
TypeVariable,rx.Notification.T,0,0,0,0,0,0,0,0,0,0,,
Public Method,rx.Notification.equals,,,,,,,,0,,16,,
Public Method,rx.Notification.getKind,,,,,,,,1.67,,3,,
Public Method,rx.Notification.getThrowable,,,,,,,,1.67,,3,,
Public Method,rx.Notification.getValue,,,,,,,,1.67,,3,,
Public Method,rx.Notification.hasThrowable,,,,,,,,1.67,,3,,
Public Method,rx.Notification.hasValue,,,,,,,,1.67,,3,,
Public Method,rx.Notification.hashCode,,,,,,,,0,,8,,
Public Method,rx.Notification.isOnCompleted,,,,,,,,0,,3,,
Public Method,rx.Notification.isOnError,,,,,,,,0,,3,,
Public Method,rx.Notification.isOnNext,,,,,,,,0,,3,,
Public Method,rx.Notification.toString,,,,,,,,0,,9,,
Public Generic Class,rx.Observable,110,6,1,237,0,99,232,4.15,94,867,,
Private Static Generic Class,rx.Observable.NeverObservable,0,0,0,1,1,0,233,0,0,9,,
Public Constructor,rx.Observable.NeverObservable.NeverObservable,,,,,,,,0,,8,,
Class,rx.Observable.NeverObservable.NeverObservable.(Anon_4),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.Observable.NeverObservable.NeverObservable.(Anon_4).onSubscribe,,,,,,,,0,,3,,
TypeVariable,rx.Observable.NeverObservable.T,0,0,0,0,0,0,0,0,0,0,,
Protected Constructor,rx.Observable.Observable,,,,,,,,4.67,,3,,
Public Generic Interface,rx.Observable.OnSubscribeFunc,2,204,0,1,1,0,1,0,0,3,,
TypeVariable,rx.Observable.OnSubscribeFunc.T,0,0,0,0,0,0,0,0,0,0,,
Public Abstract Method,rx.Observable.OnSubscribeFunc.onSubscribe,,,,,,,,0,,1,,
TypeVariable,rx.Observable.T,0,0,0,0,0,0,0,0,0,0,,
Private Static Generic Class,rx.Observable.ThrowObservable,1,0,0,1,1,0,233,0.7,0,10,,
