Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclClassMethod,CountDeclInstanceVariable
File,shell_quota_permission_context.h,,,,,,1,,,,
File,shell_render_process_observer.cc,,,,,,0,,,,
File,shell_render_process_observer.h,,,,,,1,,,,
File,shell_resource_context.cc,,,,,,0,,,,
File,shell_resource_context.h,,,,,,1,,,,
File,shell_resource_dispatcher_host_delegate.cc,,,,,,0,,,,
File,shell_resource_dispatcher_host_delegate.h,,,,,,1,,,,
File,shell_switches.cc,,,,,,0,,,,
File,shell_switches.h,,,,,,0,,,,
File,shell_toolbar_delegate_mac.h,,,,,,0,,,,
File,shell_url_request_context_getter.cc,,,,,,1,,,,
File,shell_url_request_context_getter.h,,,,,,1,,,,
File,shortcut.cc,,,,,,0,,,,
File,shortcut.h,,,,,,1,,,,
File,shortcut_constants.cc,,,,,,0,,,,
File,shortcut_constants.h,,,,,,0,,,,
File,sqlite_persistent_cookie_store.cc,,,,,,5,,,,
File,sqlite_persistent_cookie_store.h,,,,,,1,,,,
File,standard_menus_mac.h,,,,,,1,,,,
File,tab_autofill_manager_delegate.cc,,,,,,0,,,,
File,tab_autofill_manager_delegate.h,,,,,,1,,,,
File,tray.cc,,,,,,0,,,,
File,tray.h,,,,,,1,,,,
File,tray_gtk.cc,,,,,,0,,,,
File,tray_win.cc,,,,,,1,,,,
File,window.cc,,,,,,0,,,,
File,window.h,,,,,,2,,,,
File,window_bindings.cc,,,,,,0,,,,
File,window_bindings.h,,,,,,1,,,,
