Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.NamespaceStack",16,1,1,0,6,6,2,6
Public Generic Class,"edu.syr.pcpratts.jpp.cfile.internal.Stack",0,1,1,0,7,7,1,7
TypeVariable,"edu.syr.pcpratts.jpp.cfile.internal.Stack.T",0,0,1,0,0,0,0,0
Class,"edu.syr.pcpratts.jpp.cfile.internal.TemplateAttachmentPass",46,1,2,5,3,3,5,3
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.TemplateDetectionPass",33,1,2,6,3,3,1,3
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.TemplateStack",9,1,1,2,5,5,2,5
Package,"edu.syr.pcpratts.jpp.parser",,,,,,106,48,107
Abstract Class,"edu.syr.pcpratts.jpp.parser.AbstractTokenizer",56,1,2,2,8,8,2,8
Public Class,"edu.syr.pcpratts.jpp.parser.BasicBlockNormalize",62,2,1,2,12,4,2,4
Public Class,"edu.syr.pcpratts.jpp.parser.CharacterReader",40,1,2,1,5,5,4,5
Public Generic Class,"edu.syr.pcpratts.jpp.parser.ConcreteIteratorEx",33,1,2,0,6,6,3,6
TypeVariable,"edu.syr.pcpratts.jpp.parser.ConcreteIteratorEx.T",0,0,1,0,0,0,0,0
Public Class,"edu.syr.pcpratts.jpp.parser.DigraphReplacer",0,2,1,2,11,3,0,3
Public Class,"edu.syr.pcpratts.jpp.parser.DoNormalization",25,2,1,2,10,2,2,2
Public Class,"edu.syr.pcpratts.jpp.parser.ForSemiExpression",50,1,2,2,6,6,2,6
Public Generic Interface,"edu.syr.pcpratts.jpp.parser.IteratorEx",0,2,1,0,2,2,0,2
TypeVariable,"edu.syr.pcpratts.jpp.parser.IteratorEx.T",0,0,1,0,0,0,0,0
Public Class,"edu.syr.pcpratts.jpp.parser.NewlineRemover",0,2,1,2,10,2,0,2
Public Class,"edu.syr.pcpratts.jpp.parser.NewlineSplicer",36,1,2,1,6,6,5,6
Public Class,"edu.syr.pcpratts.jpp.parser.ParserFactory",0,1,1,15,7,7,0,7
Public Class,"edu.syr.pcpratts.jpp.parser.PreSemiExpression",71,2,1,3,15,7,2,7
Public Generic Class,"edu.syr.pcpratts.jpp.parser.PutbackIterator",30,1,2,0,5,5,2,5
TypeVariable,"edu.syr.pcpratts.jpp.parser.PutbackIterator.T",0,0,1,0,0,0,0,0
Public Class,"edu.syr.pcpratts.jpp.parser.SemiExpression",71,1,2,2,8,8,4,8
Public Class,"edu.syr.pcpratts.jpp.parser.StringAndCommentTokenizer",67,1,2,1,14,14,8,14
Public Class,"edu.syr.pcpratts.jpp.parser.Token",73,1,1,0,12,12,5,12
Public Class,"edu.syr.pcpratts.jpp.parser.TokenizationSplitter",0,1,1,1,2,1,0,2
Public Class,"edu.syr.pcpratts.jpp.parser.Tokenizer",0,2,1,2,10,2,0,2
Public Class,"edu.syr.pcpratts.jpp.parser.TrigraphReader",52,1,2,1,6,6,7,6
Package,"edu.syr.pcpratts.jpp.parser.cpp",,,,,,3,0,4
Public Class,"edu.syr.pcpratts.jpp.parser.cpp.CppRunner",0,1,1,0,4,3,0,4
Package,"edu.syr.pcpratts.jpp.parser.preprocessor",,,,,,25,20,25
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.IncludeExpander",66,1,1,1,1,1,3,1
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.IncludePath",64,1,1,0,7,7,2,7
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.Macro",0,1,1,0,1,1,1,1
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.MacroExpander",78,1,1,4,7,7,6,7
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.Preprocessor",77,1,1,8,6,6,6,6
Private Enum Type,"edu.syr.pcpratts.jpp.parser.preprocessor.Preprocessor.IfState",100,2,1,0,2,2,2,2
Public Class,"edu.syr.pcpratts.jpp.parser.preprocessor.RemoveStringSurrounding",0,1,1,0,1,1,0,1
Package,"edu.syr.pcpratts.jpp.parser.test",,,,,,12,2,14
Public Class,"edu.syr.pcpratts.jpp.parser.test.IteratorTester",0,1,1,15,7,6,0,7
Public Class,"edu.syr.pcpratts.jpp.parser.test.TestFilesListFactory",50,1,1,0,6,6,2,6
Public Class,"edu.syr.pcpratts.jpp.parser.test.TestMain",0,1,1,3,1,0,0,1
